iter	Passed	Remaining
0	55	55439
1	55	27848
2	56	18637
3	56	14034
4	56	11270
5	56	9428
6	57	8113
7	57	7124
8	57	6354
9	57	5738
10	58	5233
11	58	4812
12	58	4456
13	58	4152
14	59	3887
15	59	3657
16	59	3452
17	59	3271
18	60	3110
19	60	2967
20	60	2837
21	61	2716
22	61	2607
23	61	2506
24	61	2413
25	62	2327
26	62	2249
27	62	2174
28	62	2105
29	63	2041
30	63	1982
31	63	1925
32	63	1873
33	64	1822
34	64	1775
35	64	1731
36	64	1689
37	65	1649
38	65	1612
39	65	1576
40	65	1542
41	66	1509
42	66	1478
43	66	1449
44	66	1420
45	67	1393
46	67	1366
47	67	1341
48	67	1317
49	68	1295
50	68	1273
51	68	1253
52	68	1232
53	69	1212
54	69	1193
55	69	1175
56	69	1157
57	70	1140
58	70	1123
59	70	1107
60	70	1092
61	71	1077
62	71	1062
63	71	1048
64	71	1034
65	72	1021
66	72	1009
67	72	996
68	72	984
69	73	972
70	73	961
71	73	949
72	73	938
73	74	928
74	74	918
75	74	907
76	74	898
77	75	888
78	75	879
79	75	870
80	75	861
81	76	852
82	76	842
83	76	834
84	76	826
85	77	818
86	77	811
87	77	803
88	77	796
89	78	788
90	78	781
91	78	774
92	78	768
93	78	761
94	79	754
95	79	748
96	79	742
97	79	735
98	80	729
99	80	723
100	80	717
101	80	712
102	81	706
103	81	701
104	81	695
105	81	690
106	82	685
107	82	680
108	82	675
109	82	670
110	83	665
111	83	661
112	83	656
113	83	651
114	84	647
115	84	642
116	84	638
117	84	633
118	85	629
119	85	625
120	85	621
121	85	616
122	85	612
123	86	609
124	86	605
125	86	601
126	86	597
127	87	593
128	87	590
129	87	586
130	87	583
131	88	579
132	88	576
133	88	572
134	88	569
135	89	566
136	89	562
137	89	559
138	89	556
139	90	553
140	90	550
141	90	546
142	90	543
143	90	540
144	91	537
145	91	534
146	91	532
147	91	529
148	92	526
149	92	523
150	92	521
151	92	518
152	93	516
153	93	513
154	93	510
155	93	508
156	94	505
157	94	503
158	94	500
159	94	498
160	95	495
161	95	493
162	95	490
163	95	488
164	96	486
165	96	483
166	96	481
167	96	479
168	97	477
169	97	474
170	97	472
171	97	470
172	98	468
173	98	466
174	98	464
175	98	462
176	99	460
177	99	458
178	99	456
179	99	454
180	100	452
181	100	450
182	100	449
183	100	447
184	101	445
185	101	443
186	101	441
187	101	439
188	102	437
189	102	436
190	102	434
191	102	432
192	103	430
193	103	429
194	103	427
195	103	425
196	104	424
197	104	422
198	104	420
199	104	419
200	105	417
201	105	415
202	105	414
203	105	412
204	106	411
205	106	409
206	106	408
207	106	406
208	107	405
209	107	403
210	107	401
211	107	400
212	107	399
213	108	397
214	108	396
215	108	394
216	108	393
217	109	391
218	109	390
219	109	388
220	109	387
221	110	386
222	110	384
223	110	383
224	110	382
225	111	380
226	111	379
227	111	378
228	111	376
229	112	375
230	112	374
231	112	373
232	112	371
233	113	370
234	113	369
235	113	367
236	113	366
237	114	365
238	114	364
239	114	363
240	114	361
241	115	360
242	115	359
243	115	358
244	115	357
245	116	356
246	116	354
247	116	353
248	116	352
249	117	351
250	117	350
251	117	349
252	117	348
253	118	346
254	118	345
255	118	344
256	118	343
257	119	342
258	119	341
259	119	340
260	119	339
261	120	338
262	120	337
263	120	336
264	120	335
265	121	334
266	121	333
267	121	332
268	121	331
269	122	330
270	122	329
271	122	328
272	122	327
273	123	326
274	123	325
275	123	324
276	123	323
277	124	322
278	124	321
279	124	320
280	124	319
281	125	318
282	125	317
283	125	316
284	125	315
285	126	314
286	126	313
287	126	312
288	126	311
289	127	311
290	127	310
291	127	309
292	127	308
293	128	307
294	128	306
295	128	305
296	128	304
297	128	303
298	129	303
299	129	302
300	129	301
301	130	300
302	130	299
303	130	298
304	130	297
305	131	297
306	131	296
307	131	295
308	131	294
309	132	293
310	132	292
311	132	292
312	132	291
313	132	290
314	133	289
315	133	288
316	133	288
317	133	287
318	134	286
319	134	285
320	134	284
321	134	284
322	135	283
323	135	282
324	135	281
325	136	281
326	136	280
327	136	279
328	136	278
329	137	278
330	137	277
331	137	276
332	137	275
333	137	275
334	138	274
335	138	273
336	138	272
337	138	272
338	139	271
339	139	270
340	139	269
341	139	269
342	140	268
343	140	267
344	140	266
345	140	266
346	141	265
347	141	264
348	141	264
349	141	263
350	142	262
351	142	261
352	142	261
353	142	260
354	143	259
355	143	259
356	143	258
357	143	257
358	144	257
359	144	256
360	144	255
361	144	255
362	145	254
363	145	254
364	145	253
365	145	252
366	146	252
367	146	251
368	146	250
369	146	250
370	147	249
371	147	248
372	147	248
373	147	247
374	148	247
375	148	246
376	148	245
