iter	Passed	Remaining
0	54	54826
1	55	27534
2	55	18432
3	55	13877
4	56	11145
5	56	9327
6	56	8025
7	56	7050
8	57	6295
9	57	5687
10	57	5187
11	57	4771
12	58	4423
13	58	4124
14	58	3866
15	59	3638
16	59	3438
17	59	3259
18	60	3099
19	60	2954
20	60	2824
21	60	2705
22	61	2599
23	61	2499
24	61	2408
25	62	2324
26	62	2248
27	62	2179
28	63	2110
29	63	2047
30	63	1988
31	63	1931
32	64	1879
33	64	1830
34	64	1786
35	65	1742
36	65	1700
37	65	1662
38	65	1624
39	66	1587
40	66	1553
41	66	1521
42	66	1490
43	67	1461
44	67	1433
45	67	1406
46	68	1381
47	68	1356
48	68	1333
49	68	1310
50	69	1288
51	69	1267
52	69	1246
53	70	1227
54	70	1209
55	70	1191
56	70	1173
57	71	1156
58	71	1140
59	71	1124
60	72	1109
61	72	1093
62	72	1079
63	72	1065
64	73	1051
65	73	1039
66	73	1026
67	73	1013
68	74	1002
69	74	990
70	74	978
71	75	967
72	75	956
73	75	946
74	75	935
75	76	926
76	76	916
77	76	906
78	77	897
79	77	889
80	77	880
81	77	872
82	78	861
83	78	853
84	78	845
85	78	837
86	79	831
87	79	824
88	79	816
89	80	809
90	80	802
91	80	795
92	80	788
93	81	781
94	81	775
95	81	769
96	81	762
97	82	756
98	82	750
99	82	745
100	83	739
101	83	733
102	83	728
103	83	722
104	84	717
105	84	712
106	84	707
107	84	701
108	85	696
109	85	691
110	85	686
111	85	681
112	86	677
113	86	672
114	86	668
115	87	663
116	87	658
117	87	654
118	87	650
119	88	649
120	88	645
121	89	640
122	89	636
123	89	632
124	89	629
125	90	625
126	90	621
127	90	617
128	90	614
129	91	610
130	91	606
131	91	603
132	92	599
133	92	596
134	92	592
135	92	589
136	93	586
137	93	583
138	93	580
139	93	576
140	94	573
141	94	570
142	94	567
143	94	564
144	95	561
145	95	558
146	95	555
147	96	553
148	96	550
149	96	547
150	96	545
151	97	542
152	97	540
153	97	537
154	98	535
155	98	532
156	98	530
157	98	527
158	99	524
159	99	522
160	99	519
161	99	516
162	100	514
163	100	511
164	100	509
165	101	509
166	101	506
167	101	504
168	102	502
169	102	500
170	102	497
171	102	495
172	103	493
173	103	491
174	103	489
175	104	487
176	104	485
177	104	483
178	104	481
179	105	479
180	105	477
181	105	475
182	106	473
183	106	471
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	108	461
190	108	459
191	108	457
192	108	455
193	109	453
194	109	452
195	109	450
196	110	448
197	110	446
198	110	445
199	110	443
200	111	441
201	111	440
202	111	438
203	111	436
204	112	435
205	112	433
206	112	431
207	113	430
208	113	429
209	113	427
210	113	425
211	114	424
212	114	422
213	114	421
214	114	419
215	115	418
216	115	416
217	115	415
218	116	413
219	116	412
220	116	411
221	116	409
222	117	408
223	117	406
224	117	405
225	117	404
226	118	402
227	118	401
228	118	399
229	119	398
230	119	397
231	119	395
232	119	394
233	120	393
234	120	392
235	120	391
236	121	389
237	121	388
238	121	386
239	122	386
240	122	385
241	122	384
242	122	382
243	123	381
244	123	380
245	123	379
246	123	378
247	124	376
248	124	375
249	124	374
250	125	373
251	125	372
252	125	370
253	125	369
254	126	368
255	126	367
256	126	366
257	126	365
258	127	364
259	127	362
260	127	361
261	128	360
262	128	359
263	128	358
264	128	357
265	129	356
266	129	355
267	129	354
268	130	353
269	130	352
270	130	351
271	130	350
272	131	349
273	131	348
274	131	347
275	131	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	341
281	133	340
282	133	339
283	134	338
284	134	337
285	134	336
286	134	335
287	135	334
288	135	333
289	135	332
290	136	331
291	136	330
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	140	317
306	140	317
307	140	316
308	140	315
309	141	314
310	141	313
311	141	312
312	142	311
313	142	310
314	142	309
315	142	309
316	143	308
317	143	307
318	143	306
319	143	305
320	144	305
321	144	304
322	144	303
323	144	302
324	145	301
325	145	301
326	145	300
327	146	299
328	146	298
329	146	298
330	147	297
331	147	296
332	147	295
333	147	294
334	148	294
335	148	293
336	148	292
337	148	291
338	149	290
339	149	290
340	149	289
341	149	288
342	150	287
343	150	287
344	150	286
345	151	285
346	151	284
347	151	283
348	151	283
349	152	282
350	152	281
351	152	280
352	152	280
353	153	279
354	153	278
355	153	277
356	153	277
357	154	276
358	154	275
359	154	275
360	155	274
361	155	273
362	155	273
363	155	272
364	156	271
365	156	271
366	156	270
367	157	269
368	157	269
369	157	268
370	157	267
371	158	266
372	158	266
373	158	265
374	158	264
375	159	264
376	159	263
377	159	262
378	160	262
379	160	261
380	160	260
381	160	260
382	161	259
383	161	258
384	161	258
385	161	257
386	162	256
387	162	256
388	162	255
389	162	254
390	163	254
391	163	253
392	163	252
393	163	252
394	164	251
395	164	250
396	164	250
397	165	249
398	165	249
399	165	248
400	165	247
401	166	247
402	166	246
403	166	245
404	166	245
405	167	244
406	167	243
407	167	243
408	168	243
409	168	242
410	168	242
411	169	241
412	169	240
413	169	240
414	170	239
415	170	239
416	170	238
417	170	237
418	171	237
419	171	236
420	171	236
421	172	235
422	172	235
423	172	234
424	173	234
425	173	233
426	173	233
427	174	232
428	174	232
429	174	231
430	174	230
431	175	230
432	175	229
433	175	229
434	175	228
435	176	227
436	176	227
437	176	226
438	177	226
439	177	225
440	177	225
441	178	224
442	178	224
443	178	223
444	178	223
445	179	222
446	179	221
447	179	221
448	179	220
449	180	220
450	180	219
451	180	219
452	181	219
453	181	218
454	181	217
455	182	217
456	182	216
457	182	216
458	182	215
459	183	215
460	183	214
461	183	213
462	184	213
463	184	212
464	184	212
465	184	211
466	185	211
467	185	210
468	185	210
469	185	209
470	186	208
471	186	208
472	186	207
473	186	207
474	187	206
475	187	206
476	187	205
477	187	205
478	187	204
479	188	203
480	188	203
481	188	202
482	188	202
483	189	201
484	189	201
485	189	200
486	189	200
487	190	199
488	190	199
489	190	198
490	190	197
491	191	197
492	191	196
493	191	196
494	191	195
495	192	195
496	192	194
497	192	194
498	192	193
499	193	193
500	193	192
501	193	192
502	193	191
503	194	191
504	194	190
505	194	190
506	194	189
507	195	189
508	195	188
509	195	187
510	195	187
511	196	186
512	196	186
513	196	185
514	196	185
515	197	184
516	197	184
517	197	183
518	197	183
519	198	182
520	198	182
521	198	181
522	199	181
523	199	181
524	199	180
525	200	180
526	200	179
527	200	179
528	200	178
529	200	178
530	201	177
531	201	177
532	201	176
533	201	176
534	202	175
535	202	175
536	202	174
537	202	174
538	203	173
539	203	173
540	203	172
541	204	172
542	204	171
543	204	171
544	204	171
545	205	170
546	205	170
547	205	169
548	205	169
549	206	168
550	206	168
551	206	167
552	206	167
553	207	166
554	207	166
555	207	165
556	207	165
557	208	164
558	208	164
559	208	163
560	208	163
561	209	162
562	209	162
563	209	162
564	209	161
565	210	161
566	210	160
567	210	160
568	210	159
569	210	159
570	211	158
571	211	158
572	211	157
573	212	157
574	212	156
575	212	156
576	212	156
577	213	155
578	214	155
579	214	155
580	214	154
581	214	154
582	215	153
583	215	153
584	215	152
585	215	152
586	216	152
587	216	151
588	216	151
589	216	150
590	217	150
591	217	149
592	217	149
593	217	148
594	218	148
595	218	148
596	218	147
597	218	147
598	219	146
599	219	146
600	219	145
601	219	145
602	220	144
603	220	144
604	220	143
605	220	143
606	220	143
607	221	142
608	221	142
609	221	141
610	221	141
611	222	140
612	222	140
613	222	139
614	222	139
615	223	139
616	223	138
617	223	138
618	223	137
619	223	137
620	224	136
621	224	136
622	224	135
623	224	135
624	225	135
625	225	134
626	225	134
627	225	133
628	226	133
629	226	132
630	226	132
631	226	132
632	227	131
633	227	131
634	227	130
635	227	130
636	228	129
637	228	129
638	228	129
639	228	128
640	229	128
641	229	127
642	229	127
643	229	127
644	230	126
645	230	126
646	230	125
647	230	125
648	231	124
649	231	124
650	231	124
651	231	123
652	232	123
653	232	122
654	232	122
655	232	122
656	233	121
657	233	121
658	233	120
659	233	120
660	234	120
661	234	119
662	234	119
663	234	118
664	234	118
665	235	117
666	235	117
667	235	117
668	235	116
669	236	116
670	236	115
671	236	115
672	236	115
673	237	114
674	237	114
675	237	113
676	237	113
677	238	113
678	238	112
679	238	112
680	238	111
681	239	111
682	239	111
683	239	110
684	239	110
685	240	109
686	240	109
687	240	109
688	240	108
689	241	108
690	241	107
691	241	107
692	241	107
693	242	106
694	242	106
695	242	105
696	242	105
697	242	105
698	243	104
699	243	104
700	243	103
701	243	103
702	244	103
703	244	102
704	244	102
705	244	101
706	245	101
707	245	101
708	245	100
709	245	100
710	246	100
711	246	99
712	246	99
713	246	98
714	247	98
715	247	98
716	247	97
717	247	97
718	248	96
719	248	96
720	248	96
721	248	95
722	248	95
723	249	94
724	249	94
725	249	94
726	249	93
727	250	93
728	250	93
729	250	92
730	250	92
731	251	91
732	251	91
733	251	91
734	251	90
735	252	90
736	252	90
737	252	89
738	252	89
739	252	88
740	253	88
741	253	88
742	253	87
743	253	87
744	254	86
745	254	86
746	254	86
747	254	85
748	255	85
749	255	85
750	255	84
751	255	84
752	256	83
753	256	83
754	256	83
755	256	82
756	257	82
757	257	82
758	257	81
759	257	81
760	257	81
761	258	80
762	258	80
763	258	79
764	258	79
765	259	79
766	259	78
767	259	78
768	259	78
769	260	77
770	260	77
771	260	76
772	260	76
773	261	76
774	261	75
775	261	75
776	261	75
777	261	74
778	262	74
779	262	74
780	262	73
781	262	73
782	263	72
783	263	72
784	263	72
785	263	71
786	264	71
787	264	71
788	264	70
789	264	70
790	265	70
791	265	69
792	265	69
793	265	68
794	265	68
795	266	68
796	266	67
797	266	67
798	266	67
799	267	66
800	267	66
801	267	66
802	267	65
803	268	65
804	268	65
805	268	64
806	268	64
807	269	63
808	269	63
809	269	63
810	269	62
811	270	62
812	270	62
813	270	61
814	270	61
815	271	61
816	271	60
817	271	60
818	271	60
819	271	59
820	272	59
821	272	58
822	272	58
823	272	58
824	273	57
825	273	57
826	273	57
827	273	56
828	274	56
829	274	56
830	274	55
831	274	55
832	275	55
833	275	54
834	275	54
835	275	54
836	276	53
837	276	53
838	276	53
839	276	52
840	277	52
841	277	52
842	277	51
843	277	51
844	278	51
845	278	50
846	278	50
847	278	49
848	279	49
849	279	49
850	279	48
851	279	48
852	279	48
853	280	47
854	280	47
855	280	47
856	280	46
857	281	46
858	281	46
859	281	45
860	281	45
861	282	45
862	282	44
863	282	44
864	282	44
865	283	43
866	283	43
867	283	43
868	283	42
869	284	42
870	284	42
871	284	41
872	284	41
873	285	41
874	285	40
875	285	40
876	285	40
877	286	39
878	286	39
879	286	39
880	286	38
881	286	38
882	287	38
883	287	37
884	287	37
885	287	37
886	288	36
887	288	36
888	288	36
889	288	35
890	289	35
891	289	35
892	289	34
893	289	34
894	290	34
895	290	33
896	290	33
897	290	33
898	290	32
899	291	32
900	291	32
901	291	31
902	291	31
903	292	31
904	292	30
905	292	30
906	292	30
907	293	29
908	293	29
909	293	29
910	293	28
911	294	28
912	294	28
913	294	27
914	294	27
915	295	27
916	295	26
917	295	26
918	295	26
919	295	25
920	296	25
921	296	25
922	296	24
923	296	24
924	297	24
925	297	23
926	297	23
927	297	23
928	298	22
929	298	22
930	298	22
931	298	21
932	299	21
933	299	21
934	299	20
935	299	20
936	300	20
937	300	19
938	300	19
939	300	19
940	301	18
941	301	18
942	301	18
943	301	17
944	302	17
945	302	17
946	302	16
947	302	16
948	303	16
949	303	15
950	303	15
951	303	15
952	304	14
953	304	14
954	304	14
955	304	14
956	304	13
957	305	13
958	305	13
959	305	12
960	305	12
961	306	12
962	306	11
963	306	11
964	306	11
965	307	10
966	307	10
967	307	10
968	307	9
969	308	9
970	308	9
971	308	8
972	308	8
973	309	8
974	309	7
975	309	7
976	309	7
977	309	6
978	310	6
979	310	6
980	310	6
981	310	5
982	311	5
983	311	5
984	311	4
985	311	4
986	312	4
987	312	3
988	312	3
